,Song,Artist,Year,Genre
144,tidy,trot,2004,pop
145,window,discovery,2023,pop
146,replace,discovery,1992,pop
147,wave,guttural,2017,hip hop
148,roasted,guttural,2009,hip hop
149,preserve,guttural,1997,hip hop
150,important,guttural,2011,hip hop
151,natural,guttural,2019,hip hop
152,decorate,guttural,2017,hip hop
153,exchange,guttural,1993,hip hop
154,valuable,guttural,2010,hip hop
155,injure,guttural,2018,hip hop
156,equable,guttural,2018,hip hop
157,steel,guttural,1998,hip hop
158,wail,guttural,2005,hip hop
159,likeable,guttural,2006,hip hop
160,warlike,guttural,2015,hip hop
161,lethal,guttural,1994,hip hop
162,same,guttural,2011,hip hop
163,eager,guttural,2018,hip hop
164,dangerous,guttural,1994,hip hop
165,improve,guttural,1998,hip hop
166,rest,guttural,1982,hip hop
167,knowing,guttural,1971,hip hop
168,store,guttural,2012,hip hop
169,actually,guttural,2019,hip hop
170,smell,guttural,2003,hip hop
171,beam,guttural,1990,hip hop
172,ear,guttural,1991,hip hop
173,value,guttural,2019,hip hop
174,spot,guttural,1994,hip hop
175,fascinated,puncture,2018,hip hop
176,land,puncture,1983,hip hop
177,sand,deserted,2017,pop
178,obedient,coordinated,2022,hip hop
179,disgusted,coordinated,2000,hip hop
180,itchy,coordinated,1990,hip hop
181,car,far-flung,2002,hip hop
182,fasten,abortive,2004,pop
183,religion,clap,2000,folk
184,unwieldy,reminiscent,2002,pop
185,cloudy,precede,2009,pop
186,cooing,boil,2001,pop
187,misty,boil,2001,pop
188,rely,milky,2015,folk
189,orange,milky,2003,folk
190,squirrel,milky,1983,folk
191,cloudy,five,1992,pop
192,sudden,five,2014,pop
193,morning,five,2013,pop
194,relation,five,2009,pop
195,blink,five,1979,pop
196,rare,five,1998,pop
197,system,five,1982,pop
198,ski,five,2015,pop
199,tow,fix,1997,pop
200,bolt,damaging,2008,pop
201,pot,damaging,2012,pop
202,handy,damaging,1994,pop
203,oil,low,2006,pop
204,squash,low,2012,pop
205,hateful,turn,1993,hip hop
206,soap,turn,2005,hip hop
207,greet,turn,2012,hip hop
208,mask,sprout,2016,pop
209,reward,poke,1994,pop
210,stone,quizzical,2022,pop
211,colour,quizzical,2007,pop
212,substantial,unused,2020,pop
213,mess up,right,1978,rock
214,insurance,right,1996,rock
215,eminent,right,2001,rock
216,clammy,right,2006,rock
217,expand,right,2012,rock
218,lumpy,right,2014,rock
219,mix,right,1987,rock
220,black-and-white,right,2013,rock
221,interesting,right,2001,rock
222,charge,right,2005,rock
223,things,right,2012,rock
224,striped,right,2010,rock
225,lethal,right,2011,rock
226,occur,right,2021,rock
227,board,right,2022,rock
228,wicked,right,2015,rock
229,tart,right,1997,rock
230,deeply,right,2007,rock
231,spill,ring,2014,rock
232,robust,ring,1996,rock
233,yam,long-term,1983,pop
234,end,vagabond,2012,pop
235,wholesale,vagabond,1994,pop
236,star,vagabond,2020,pop
237,earthquake,vagabond,2013,pop
238,true,vagabond,1996,pop
239,squalid,vagabond,2000,pop
240,homely,vagabond,2011,pop
241,unfasten,vagabond,2006,pop
242,reflect,vagabond,1992,pop
243,suit,vagabond,2006,pop
244,small,vagabond,1989,pop
245,guide,vagabond,1999,pop
246,scared,vagabond,2020,pop
247,icicle,vagabond,2020,pop
248,purpose,vagabond,2022,pop
249,ask,vagabond,1986,pop
250,plot,vagabond,2005,pop
251,teeth,vagabond,2011,pop
252,calculator,overflow,2005,folk
253,likeable,peel,1994,pop
254,flagrant,guess,1986,rock
255,warm,crash,2005,hip hop
256,achiever,crash,2008,hip hop
257,memory,crash,2007,hip hop
258,wry,pat,2018,blues
259,fallacious,motionless,2017,pop
260,befitting,occur,2008,pop
261,arrogant,occur,2006,pop
262,beg,occur,2018,pop
263,income,shut,2005,pop
264,rude,shut,2016,pop
265,crawl,shut,2022,pop
266,glass,shut,2007,pop
267,earthquake,shut,1997,pop
268,aloof,shut,2013,pop
269,border,shut,2010,pop
270,flesh,shut,2010,pop
271,scream,mature,2009,folk
272,plug,mature,2005,folk
273,mist,mature,2015,folk
274,grab,mature,2018,folk
275,wipe,mature,1992,folk
276,sidewalk,mature,2016,folk
277,gaudy,mature,1991,folk
278,use,mature,2021,folk
279,mug,girl,2015,hip hop
280,legal,girl,2020,hip hop
281,dapper,loud,2014,pop
282,glorious,minute,2016,pop
283,numerous,yam,2012,hip hop
284,nod,yam,2019,hip hop
285,liquid,yam,2001,hip hop
286,cure,yam,2006,hip hop
287,thumb,yam,1995,hip hop
288,hurry,yam,2006,hip hop
289,melodic,yam,2007,hip hop
290,stem,yam,2006,hip hop
291,scratch,hard-to-find,2011,pop
292,plane,hard-to-find,2014,pop
293,volatile,hard-to-find,2020,pop
294,plan,hard-to-find,2008,pop
295,snow,hard-to-find,2019,pop
296,alluring,hard-to-find,2000,pop
297,naive,hard-to-find,2015,pop
298,rock,hard-to-find,2022,pop
299,advertisement,hard-to-find,2022,pop
300,outstanding,hard-to-find,2011,pop
301,popcorn,hard-to-find,1994,pop
302,volatile,hard-to-find,2015,pop
303,key,hard-to-find,2012,pop
304,succinct,hard-to-find,1999,pop
305,bright,hard-to-find,2014,pop
306,act,hard-to-find,2007,pop
307,dock,hard-to-find,1973,pop
308,unaccountable,hard-to-find,2001,pop
309,camp,warn,2009,hip hop
310,happen,warn,2014,hip hop
311,undesirable,warn,2018,hip hop
312,aberrant,warn,2006,hip hop
313,marble,warn,1985,hip hop
314,tip,warn,2016,hip hop
315,spot,warn,1974,hip hop
316,listen,warn,2012,hip hop
317,sulky,warn,2013,hip hop
318,hill,warn,2002,hip hop
319,land,warn,2018,hip hop
320,debonair,warn,1993,hip hop
321,macho,warn,2018,hip hop
322,pointless,warn,1995,hip hop
323,cry,warn,2000,hip hop
324,burn,warn,1977,hip hop
325,try,warn,2008,hip hop
326,wine,warn,2022,hip hop
327,addicted,discreet,2010,hip hop
328,amusing,discreet,2022,hip hop
329,scientific,discreet,2014,hip hop
330,halting,discreet,2021,hip hop
331,tin,discreet,2010,hip hop
332,earth,discreet,2000,hip hop
333,trace,discreet,2011,hip hop
334,ship,discreet,2018,hip hop
335,aboriginal,soup,2022,rock
336,account,soup,1987,rock
337,clear,soup,2019,rock
338,cold,soup,1976,rock
339,direful,soup,2013,rock
340,glistening,soup,1993,rock
341,stereotyped,soup,2010,rock
342,ultra,soup,2020,rock
343,physical,soup,2007,rock
344,learned,soup,2022,rock
345,hose,soup,2003,rock
346,female,unique,1978,pop
347,macabre,crush,1986,hip hop
348,adorable,crush,2013,hip hop
349,cold,crush,2004,hip hop
350,profuse,crush,2018,hip hop
351,add,crush,2007,hip hop
352,quiver,crush,2008,hip hop
353,protective,crush,2009,hip hop
354,cagey,crush,2010,hip hop
355,cherries,crush,2002,hip hop
356,statuesque,crush,2014,hip hop
357,volatile,crush,2013,hip hop
358,second,crush,2022,hip hop
359,greedy,crush,2016,hip hop
360,gentle,crush,1983,hip hop
361,ambiguous,crush,2006,hip hop
362,extra-small,crush,2008,hip hop
363,handsome,crush,1990,hip hop
364,offer,crush,1976,hip hop
365,cemetery,acid,2003,pop
366,mouth,trashy,2008,hip hop
367,report,trashy,1997,hip hop
368,bumpy,trashy,1999,hip hop
369,thinkable,trashy,2010,hip hop
370,well-made,trashy,1983,hip hop
371,week,fearless,2007,hip hop
372,holistic,fearless,2019,hip hop
373,driving,fearless,2017,hip hop
374,memorize,fearless,2009,hip hop
375,old,fearless,1999,hip hop
376,fork,slave,1972,rock
377,correct,slave,2010,rock
378,giant,slave,2004,rock
379,efficacious,slave,2019,rock
380,resonant,slave,2002,rock
381,teaching,slave,1979,rock
382,resonant,slave,2015,rock
383,complete,slave,2017,rock
384,connect,rest,2015,folk
385,soft,rest,2005,folk
386,matter,rest,1996,folk
387,knee,rest,2004,folk
388,greedy,rest,2023,folk
389,influence,rest,1988,folk
390,spotty,rest,2018,folk
391,sock,rest,2013,folk
392,inexpensive,marvelous,1984,pop
393,weight,marvelous,1984,pop
394,grape,thumb,2006,pop
395,tan,thumb,2020,pop
396,blade,thumb,2006,pop
397,married,thumb,2015,pop
398,wanting,thumb,1970,pop
399,pull,thumb,2008,pop
400,smash,thumb,2000,pop
401,joke,thumb,1994,pop
402,skillful,mind,2016,folk
403,playground,skate,1979,pop
404,possess,skate,2011,pop
405,uptight,skate,1994,pop
406,chemical,skate,1989,pop
407,smoggy,skate,2018,pop
408,stir,kneel,2013,pop
409,brake,kneel,1997,pop
410,uneven,kneel,2009,pop
411,hissing,kneel,2015,pop
412,cushion,kneel,2011,pop
413,legs,kneel,2012,pop
414,purring,kneel,1990,pop
415,poised,kneel,2018,pop
416,thinkable,kneel,2006,pop
417,birthday,kneel,1970,pop
418,imaginary,kneel,2013,pop
419,sky,power,2003,pop
420,pipe,imperfect,2022,pop
421,reflect,imperfect,1990,pop
422,ready,imperfect,1972,pop
423,picayune,imperfect,2019,pop
424,charge,imperfect,2003,pop
425,false,imperfect,2015,pop
426,rest,imperfect,2010,pop
427,interest,imperfect,2008,pop
428,bizarre,jazzy,2008,pop
429,picture,jazzy,2003,pop
430,night,jazzy,2009,pop
431,complex,jazzy,2011,pop
432,smiling,jazzy,2012,pop
433,remind,jazzy,2012,pop
434,rice,jazzy,2017,pop
435,discover,jazzy,2014,pop
436,event,jazzy,2010,pop
437,sharp,jazzy,2011,pop
438,small,jazzy,2012,pop
439,modern,jazzy,2020,pop
440,efficacious,jazzy,2002,pop
441,voracious,jazzy,2020,pop
442,smart,jazzy,2005,pop
443,tasteful,jazzy,2007,pop
444,whip,jazzy,2006,pop
445,unlock,jazzy,2023,pop
446,futuristic,flower,2006,pop
447,sea,flower,2017,pop
448,sign,flower,2004,pop
449,one,cushion,2013,rock
450,tax,cushion,2011,rock
451,cheese,cushion,2013,rock
452,ubiquitous,cushion,2014,rock
453,past,cushion,2000,rock
454,dreary,longing,2020,pop
455,fear,placid,2005,pop
456,week,placid,2012,pop
457,itch,fowl,2000,pop
458,own,float,2011,rock
459,stain,hanging,1993,folk
460,damage,hanging,1984,folk
461,beg,subsequent,1986,rock
462,taste,jam,2002,pop
463,sincere,square,1994,pop
464,rude,square,1978,pop
465,nappy,square,2012,pop
466,vast,feeble,2002,blues
467,oval,feeble,2000,blues
468,settle,feeble,2015,blues
469,airport,feeble,2004,blues
470,dime,feeble,1989,blues
471,crow,feeble,2018,blues
472,string,feeble,2011,blues
473,stroke,feeble,2001,blues
474,toothsome,feeble,2012,blues
475,mountain,feeble,1990,blues
476,rare,feeble,2018,blues
477,instrument,feeble,1989,blues
478,circle,feeble,2010,blues
479,rain,feeble,2019,blues
480,curvy,feeble,1998,blues
481,horses,feeble,2013,blues
482,retire,feeble,1997,blues
483,automatic,feeble,2007,blues
484,detect,chief,1993,pop
485,story,chief,2015,pop
486,carve,chief,1974,pop
487,look,chief,1984,pop
488,huge,chief,2005,pop
489,pastoral,floor,2020,rock
490,needle,floor,2020,rock
491,meeting,floor,2014,rock
492,condemned,floor,1984,rock
493,thread,floor,2000,rock
494,develop,floor,2019,rock
495,cattle,floor,2007,rock
496,report,floor,1996,rock
497,chemical,floor,1971,rock
498,meeting,floor,2011,rock
499,five,floor,2013,rock
500,increase,floor,2001,rock
501,advice,floor,2007,rock
502,descriptive,floor,2013,rock
503,humdrum,floor,2011,rock
504,elfin,floor,1999,rock
505,person,floor,1981,rock
506,far-flung,floor,1984,rock
507,sable,wild,2004,pop
508,pick,wild,2023,pop
509,adaptable,wild,2000,pop
510,found,wild,2019,pop
511,jobless,wild,2017,pop
512,bawdy,wild,2009,pop
513,grateful,wild,2017,pop
514,best,wild,2003,pop
515,cover,taboo,2009,hip hop
516,place,taboo,1999,hip hop
517,measure,taboo,2016,hip hop
518,shiver,taboo,1990,hip hop
519,damaging,taboo,1978,hip hop
520,foamy,sense,1986,rock
521,rampant,able,1997,pop
522,cut,able,2009,pop
523,muddled,able,2022,pop
524,sick,able,2001,pop
525,shrill,able,2002,pop
526,exultant,able,1978,pop
527,ignorant,able,1989,pop
528,gaudy,able,2009,pop
529,jolly,able,2013,pop
530,open,able,2001,pop
531,second,able,2002,pop
532,exchange,able,1992,pop
533,air,able,1974,pop
534,spurious,able,2019,pop
535,fuel,able,2006,pop
536,sort,able,1986,pop
537,kneel,able,2006,pop
538,cloudy,able,2003,pop
539,vast,railway,2016,pop
540,gaze,railway,2012,pop
541,dreary,railway,2004,pop
542,quirky,railway,1991,pop
543,twig,railway,2019,pop
544,train,bustling,2022,pop
545,last,suppose,1999,hip hop
546,view,suppose,2020,hip hop
547,plug,suppose,2012,hip hop
548,piquant,slow,2015,hip hop
549,corn,slow,1997,hip hop
550,youthful,slow,2009,hip hop
551,eggs,slow,1974,hip hop
552,quarrelsome,slow,2001,hip hop
553,snails,edge,2017,pop
554,mature,kindhearted,2016,pop
555,flawless,kindhearted,2017,pop
556,aromatic,kindhearted,2010,pop
557,manage,kindhearted,2007,pop
558,snatch,kindhearted,2016,pop
559,nappy,kindhearted,2002,pop
560,geese,kindhearted,2022,pop
561,rabbits,kindhearted,2006,pop
562,range,kindhearted,2010,pop
563,long-term,kindhearted,2021,pop
564,try,kindhearted,2013,pop
565,stop,nice,1981,rock
566,maniacal,nice,2013,rock
567,bedroom,nice,2003,rock
568,reaction,nonstop,2008,pop
569,arrogant,frantic,2012,pop
570,disillusioned,maid,2015,rock
571,ragged,maid,2012,rock
572,quiver,maid,1999,rock
573,attack,maid,1995,rock
574,scream,maid,2006,rock
575,rabid,maid,2009,rock
576,medical,maid,2018,rock
577,keen,maid,2015,rock
578,government,flowery,2015,pop
579,festive,high,2002,pop
580,elated,plucky,1979,pop
581,valuable,plucky,2006,pop
582,large,plucky,2013,pop
583,parallel,plucky,2015,pop
584,faithful,plucky,1997,pop
585,route,plucky,2018,pop
586,present,plucky,2010,pop
587,pipe,plucky,2015,pop
588,shiny,plucky,2019,pop
589,lighten,plucky,1994,pop
590,pastoral,plucky,2007,pop
591,messy,trick,2020,pop
592,innocent,scold,2004,pop
593,military,exclusive,2004,pop
594,bake,plant,2016,pop
595,thick,marble,2004,pop
596,outstanding,marble,2000,pop
597,pedal,gainful,1991,hip hop
598,cuddly,gainful,2005,hip hop
599,scatter,gainful,2007,hip hop
600,inject,gullible,2007,hip hop
601,stick,crib,2003,pop
602,travel,crib,1971,pop
603,heartbreaking,crib,2008,pop
604,owe,crib,2011,pop
605,meal,crib,1980,pop
606,fire,crib,2016,pop
607,dead,crib,2006,pop
608,insect,crib,1988,pop
609,tent,flat,1989,hip hop
610,transport,branch,2005,pop
611,frail,branch,2020,pop
612,way,branch,2005,pop
613,metal,branch,2021,pop
614,hose,branch,2021,pop
615,carriage,branch,2021,pop
616,ray,branch,2014,pop
617,party,branch,1972,pop
618,playground,branch,2009,pop
619,juicy,branch,2012,pop
620,numberless,branch,1980,pop
621,exchange,spotted,2018,pop
622,confused,spotted,1984,pop
623,wax,spotted,2001,pop
624,worried,spotted,1994,pop
625,loaf,spotted,2018,pop
626,cover,writer,1976,hip hop
627,boundary,skin,2001,pop
628,general,tickle,2002,pop
629,groovy,pet,2009,hip hop
630,wink,interfere,2012,hip hop
631,disgusted,interfere,2014,hip hop
632,juvenile,horn,2016,hip hop
633,known,horn,1974,hip hop
634,scare,horn,2010,hip hop
635,rude,horn,1998,hip hop
636,venomous,horn,2019,hip hop
637,son,horn,1990,hip hop
638,taboo,horn,2013,hip hop
639,shave,horn,1999,hip hop
640,balance,dusty,2005,folk
641,ruin,ashamed,2007,hip hop
642,annoyed,periodic,2012,pop
643,quiet,willing,2007,folk
644,low,combative,1997,rock
645,gullible,possessive,2021,pop
646,belligerent,possessive,2000,pop
647,mask,possessive,2012,pop
648,fluffy,possessive,2009,pop
649,yummy,possessive,2018,pop
650,thing,possessive,2022,pop
651,stage,possessive,2008,pop
652,fast,possessive,2011,pop
653,handsomely,evasive,2015,rock
654,pig,collar,2016,pop
655,car,collar,2006,pop
656,fairies,collar,2005,pop
657,guttural,collar,2021,pop
658,committee,collar,2015,pop
659,unusual,collar,1996,pop
660,part,collar,2011,pop
661,jazzy,collar,2015,pop
662,wrestle,collar,1980,pop
663,panicky,collar,2003,pop
664,divergent,collar,1991,pop
665,absurd,frightening,2010,pop
666,rambunctious,frightening,1973,pop
667,order,frightening,1976,pop
668,yard,frightening,2014,pop
669,ignorant,frightening,1993,pop
670,dry,frightening,2001,pop
671,reduce,frightening,2020,pop
672,protest,frightening,1992,pop
673,tap,frightening,1978,pop
674,governor,frightening,2008,pop
675,pine,frightening,2004,pop
676,berserk,frightening,1978,pop
677,hover,frightening,1999,pop
678,fragile,frightening,2020,pop
679,fuel,frightening,2017,pop
680,guarded,frightening,2018,pop
681,door,frightening,2017,pop
682,great,frightening,2013,pop
683,weather,lacking,1992,pop
684,love,lacking,2015,pop
685,push,lacking,2019,pop
686,view,lacking,1990,pop
687,distance,lacking,1992,pop
688,launch,lacking,2018,pop
689,texture,lacking,2014,pop
690,tacky,lacking,2018,pop
691,cheap,lacking,1972,pop
692,faulty,lacking,2013,pop
693,spoon,lacking,2004,pop
694,hallowed,lacking,2017,pop
695,encourage,lacking,2014,pop
696,hook,lacking,1990,pop
697,grubby,lacking,2005,pop
698,enchanting,lacking,2007,pop
699,spell,lacking,1984,pop
700,brawny,lacking,1987,pop
701,dogs,protective,2003,pop
702,burly,cactus,1997,pop
703,bikes,cactus,1978,pop
704,statuesque,cactus,2010,pop
705,left,trap,2022,pop
706,sparkle,tomatoes,2001,pop
707,faithful,tomatoes,2022,pop
708,gleaming,tomatoes,2020,pop
709,dolls,tomatoes,2020,pop
710,fix,tomatoes,2011,pop
711,silk,apathetic,2022,folk
712,concentrate,apathetic,2009,folk
713,trousers,injure,2019,pop
714,needless,two,1987,pop
715,table,nauseating,2001,pop
716,crown,nauseating,2013,pop
717,graceful,nauseating,1978,pop
718,draconian,nauseating,2013,pop
719,fail,nauseating,2018,pop
720,diligent,succinct,2009,pop
721,spark,settle,2014,pop
722,tank,settle,1977,pop
723,ahead,settle,2003,pop
724,ski,divergent,1980,folk
725,settle,divergent,1972,folk
726,can,divergent,1992,folk
727,salty,divergent,1991,folk
728,glamorous,divergent,2000,folk
729,satisfying,divergent,2004,folk
730,large,divergent,2010,folk
731,smash,divergent,1982,folk
732,planes,colorful,1992,pop
733,ahead,license,2018,pop
734,kettle,license,2020,pop
735,fluffy,license,2007,pop
736,shame,license,1981,pop
737,amused,license,2011,pop
738,stomach,license,2015,pop
739,uttermost,license,2011,pop
740,whirl,license,2000,pop
741,fireman,license,2016,pop
742,borrow,license,2001,pop
743,instruct,license,2020,pop
744,last,dead,2002,hip hop
745,eggnog,dead,2005,hip hop
746,unfasten,dead,2017,hip hop
747,penitent,dead,2019,hip hop
748,evanescent,dead,1989,hip hop
749,breath,dead,2000,hip hop
750,wash,dead,2001,hip hop
751,son,dead,2002,hip hop
752,blue-eyed,dead,2007,hip hop
753,thin,dead,2014,hip hop
754,left,dead,2004,hip hop
755,smile,dead,1996,hip hop
756,dynamic,dead,2004,hip hop
757,puffy,dead,1980,hip hop
758,wicked,dead,2008,hip hop
759,structure,dead,2009,hip hop
760,meat,dead,2018,hip hop
761,selfish,dead,2008,hip hop
762,aggressive,dead,1996,hip hop
763,flowery,dead,2005,hip hop
764,remarkable,dead,2008,hip hop
765,moan,dead,2011,hip hop
766,classy,dead,2002,hip hop
767,paddle,dead,2011,hip hop
768,magic,dead,1980,hip hop
769,low,dead,2001,hip hop
770,pedal,dead,1997,hip hop
771,daughter,dead,2010,hip hop
772,current,squirrel,2011,pop
773,country,squirrel,2008,pop
774,anger,squirrel,2000,pop
775,squirrel,squirrel,1992,pop
776,faithful,squirrel,2014,pop
777,physical,squirrel,2018,pop
778,umbrella,squirrel,1984,pop
779,fantastic,squirrel,2010,pop
780,thick,squirrel,2006,pop
781,sore,squirrel,1988,pop
782,pancake,squirrel,1986,pop
783,spy,squirrel,2001,pop
784,suspect,squirrel,2001,pop
785,excellent,squirrel,2003,pop
786,reproduce,squirrel,2018,pop
787,vessel,squirrel,2007,pop
788,cure,squirrel,2016,pop
789,play,squirrel,2014,pop
790,narrow,drunk,2011,hip hop
791,mammoth,accurate,2010,hip hop
792,holistic,accurate,2016,hip hop
793,automatic,accurate,2015,hip hop
794,acid,accurate,2020,hip hop
795,snotty,accurate,1994,hip hop
796,distance,accurate,2001,hip hop
797,glistening,accurate,2017,hip hop
798,staking,accurate,2002,hip hop
799,retire,accurate,2021,hip hop
800,tight,accurate,1980,hip hop
801,pan,accurate,2004,hip hop
802,preserve,impulse,2023,pop
803,material,command,2012,rock
804,quaint,command,1996,rock
805,science,command,2003,rock
806,gun,command,1986,rock
807,bizarre,command,2005,rock
808,amuck,command,1979,rock
809,stick,command,1986,rock
810,snails,command,1990,rock
811,coal,command,2012,rock
812,zinc,command,2019,rock
813,frame,command,1993,rock
814,smile,coach,2015,hip hop
815,gamy,inform,2014,pop
816,unlock,inform,1993,pop
817,short,system,2001,pop
818,alcoholic,arithmetic,2006,hip hop
819,feigned,suspend,2016,folk
820,ocean,dress,2014,pop
821,admit,dress,2004,pop
822,apathetic,dress,2004,pop
823,mountain,dress,2012,pop
824,various,dress,1987,pop
825,school,load,2019,pop
826,porter,load,2018,pop
827,scratch,load,2012,pop
828,dreary,load,2007,pop
829,curvy,load,2006,pop
830,divide,load,2012,pop
831,pricey,load,2019,pop
832,pedal,load,1993,pop
833,irritate,load,2003,pop
834,silly,load,2009,pop
835,embarrassed,load,2019,pop
836,scold,load,2006,pop
837,curl,load,1974,pop
838,black,load,2014,pop
839,direful,load,2016,pop
840,clear,load,2007,pop
841,sad,load,2014,pop
842,close,load,1997,pop
843,female,tense,1986,pop
844,keen,tense,1994,pop
845,careful,tense,2014,pop
846,slippery,tense,1993,pop
847,long,tense,2013,pop
848,stitch,end,2000,rock
849,heady,wealthy,2009,rock
850,majestic,wealthy,1998,rock
851,wrist,hospital,2016,pop
852,window,raspy,1982,pop
853,repulsive,raspy,2018,pop
854,moldy,raspy,2002,pop
855,search,boiling,1991,pop
856,royal,quiet,2000,pop
857,tease,excuse,2004,pop
858,coast,excuse,2000,pop
859,arch,excuse,1991,pop
860,resonant,excuse,1983,pop
861,pot,excuse,1982,pop
862,lumber,excuse,2009,pop
863,place,excuse,1994,pop
864,well-groomed,excuse,2017,pop
865,cows,tremble,2019,hip hop
866,well-made,electric,2004,pop
867,spotted,electric,1978,pop
868,place,electric,2012,pop
869,plastic,electric,2002,pop
870,avoid,electric,2020,pop
871,clumsy,electric,2020,pop
872,thread,electric,2000,pop
873,learn,electric,2004,pop
874,royal,electric,2020,pop
875,tiny,electric,2021,pop
876,well-made,electric,2019,pop
877,sable,view,2023,hip hop
878,grotesque,view,2008,hip hop
879,untidy,interest,1999,pop
880,ring,interest,2006,pop
881,achiever,interest,2022,pop
882,gaudy,interest,2002,pop
883,staking,interest,1986,pop
884,enjoy,interest,2006,pop
885,defiant,interest,1990,pop
886,elated,interest,2019,pop
887,well-off,dramatic,2015,pop
888,greedy,dramatic,2012,pop
889,unite,dramatic,2018,pop
890,overt,rainstorm,2009,folk
891,rule,rainstorm,1993,folk
892,afraid,stroke,2006,pop
893,evasive,peck,2003,pop
894,scrub,hypnotic,2012,pop
895,hysterical,hypnotic,2019,pop
