,Song,Artist,Year,Genre,Length,Count,C_month,C_week,Decade
44,rail,cheerful,2006,pop,1.0700904975295755,7,2,0,00s
45,nut,open,2015,pop,1.207177145526947,8,2,1,10s
46,queen,thick,2021,hip hop,1.0034375408436116,14,7,1,20s
47,carpenter,thick,2002,hip hop,1.4144804623722729,38,38,12,00s
48,dad,thick,1996,hip hop,1.4009713599824891,17,17,5,90s
49,live,thick,2015,hip hop,1.4501657155464605,38,38,0,10s
50,distinct,thick,2017,hip hop,1.2062296558541077,61,20,20,10s
51,improve,thick,1995,hip hop,0.9811485229440712,28,28,5,90s
52,panoramic,thick,2002,hip hop,1.0698309446884826,43,14,4,00s
53,hand,thick,2005,hip hop,1.3655415762258571,17,2,0,00s
54,groan,thick,2004,hip hop,1.3594706637735374,2,1,1,00s
55,toe,thick,2019,hip hop,1.7093131460424638,20,20,5,10s
56,conscious,thick,2014,hip hop,1.3843069995002948,25,25,12,10s
57,obtainable,thick,2010,hip hop,1.35235280362191,57,11,0,10s
58,wet,thick,2008,hip hop,1.0821367848878256,9,4,1,00s
59,continue,thick,2001,hip hop,1.4710175514955126,4,1,0,00s
60,loose,thick,1985,hip hop,1.383953887219729,121,40,13,80s
61,bored,thick,2009,hip hop,1.4448052997766188,2,1,0,00s
62,school,thick,2018,hip hop,1.052110018476009,1,0,0,10s
63,system,thick,2008,hip hop,1.055286357471927,11,5,2,00s
64,trains,pass,1991,pop,1.6411318201778031,11,5,1,90s
65,hard-to-find,pass,2014,pop,1.7985661000107211,3,3,1,10s
66,blot,pass,1984,pop,1.3411125500588978,42,21,7,80s
67,face,march,2015,pop,1.2489666657155358,21,7,1,10s
68,porter,march,1990,pop,1.1514198582527717,173,34,11,90s
69,milky,march,2018,pop,1.2475329903847414,27,27,4,10s
70,exist,march,2010,pop,1.190234358309436,15,5,2,10s
71,friends,march,2018,pop,1.6492520682444742,30,1,0,10s
72,stiff,march,2002,pop,1.3053104987375357,13,1,0,00s
73,fast,march,1999,pop,1.0197365380617986,15,0,0,90s
74,rain,march,2008,pop,1.2245656939310297,14,14,7,00s
75,snails,march,2010,pop,1.043234900986456,23,23,7,10s
76,side,march,2002,pop,1.842206176413396,17,8,8,00s
77,include,march,2021,pop,1.5555310674687033,8,2,1,20s
78,envious,clumsy,2023,hip hop,0.885534643931528,36,6,1,20s
79,continue,flimsy,1990,hip hop,1.7615591715660257,8,4,1,90s
80,street,flimsy,2014,hip hop,1.7066784033675813,73,5,1,10s
81,clean,flimsy,2022,hip hop,0.8552126430149564,103,34,34,20s
82,continue,flimsy,2009,hip hop,1.4736687778251456,20,1,0,00s
83,trot,flimsy,2006,hip hop,1.6614974092496817,26,13,1,00s
84,wing,rambunctious,2005,pop,1.4934164337003957,7,2,0,00s
85,curved,rambunctious,2022,pop,0.9811725139433256,46,23,23,20s
86,clever,rambunctious,1997,pop,1.7326470810825876,26,13,4,90s
87,fearful,rambunctious,2009,pop,1.3415377243159878,27,27,27,00s
88,crow,rambunctious,1997,pop,1.116415575885052,6,2,0,90s
89,pet,van,2000,pop,1.5098998392960103,5,2,0,00s
90,lie,van,1997,pop,1.5878916254026885,5,0,0,90s
91,ubiquitous,van,1983,pop,1.3431018400799326,18,6,3,80s
92,tearful,want,1987,pop,1.3588854209130727,32,16,16,80s
93,like,twig,1993,hip hop,1.1571680126839476,32,16,16,90s
94,invent,twig,2009,hip hop,1.039916385830943,8,0,0,00s
95,competition,twig,2015,hip hop,1.7830284056252663,10,10,10,10s
96,tasteful,twig,2000,hip hop,1.226257776424822,15,15,7,00s
97,pop,twig,2004,hip hop,1.38379337020994,78,11,11,00s
98,craven,soak,1975,pop,1.7363072795351877,30,30,15,70s
99,cheat,mountain,2002,pop,1.4676212043506074,19,19,6,00s
100,little,mountain,2022,pop,1.5205661156146082,10,5,2,20s
101,dream,mountain,1998,pop,1.1255148932827086,49,24,3,90s
102,stain,mountain,2008,pop,1.4597725504943362,21,3,0,00s
103,chubby,mountain,1993,pop,1.3075667028493485,7,3,3,90s
104,ducks,mountain,1978,pop,1.478498907632955,23,23,11,70s
105,yam,mountain,1991,pop,1.6450895336609803,11,3,1,90s
106,zany,mountain,2001,pop,1.2591854505458198,29,1,1,00s
107,territory,reproduce,2013,pop,1.5214725975766052,20,10,10,10s
108,calm,brave,2011,hip hop,1.0441542254103344,64,64,64,10s
109,soap,brief,1995,pop,1.5478547037732475,15,0,0,90s
110,horn,brief,2023,pop,1.6713350128027922,13,13,1,20s
111,beef,brief,2004,pop,1.2157098582098127,10,10,1,00s
112,smoggy,brief,1980,pop,1.094906807768998,48,24,24,80s
113,enjoy,brief,2019,pop,1.386604392145503,25,8,4,10s
114,sheep,unite,2010,pop,0.8913658028674044,47,0,0,10s
115,next,unite,1971,pop,1.630929824813641,35,35,5,70s
116,arm,unite,2012,pop,1.0546538093443931,24,8,1,10s
117,doubtful,unite,1977,pop,1.7442061987651742,32,10,3,70s
118,draconian,unite,2000,pop,1.541520753951899,5,5,2,00s
119,sheep,unite,2000,pop,1.2018491198653138,59,3,1,00s
120,historical,unite,2018,pop,1.7152016979483369,19,1,0,10s
121,juicy,unite,2005,pop,1.7451366107184465,33,16,16,00s
122,coherent,unite,2003,pop,1.5473355860493605,79,79,26,00s
123,railway,unite,2018,pop,1.1638187610803454,25,12,4,10s
124,slip,unite,2011,pop,1.043987864561569,74,9,3,10s
125,grate,lazy,1995,hip hop,1.6997449848719297,3,1,0,90s
126,hollow,lazy,2009,hip hop,0.961147817582618,36,12,0,00s
127,answer,eye,2016,hip hop,1.7002631958051029,4,1,0,10s
128,ugliest,swift,2016,rock,1.0721078429313906,16,5,2,10s
129,sleet,scared,1983,pop,1.3417198505226549,10,0,0,80s
130,babies,wrench,1997,hip hop,1.6150060125778,23,2,2,90s
131,include,wrench,2010,hip hop,1.7238995189464328,14,7,3,10s
132,maniacal,wrench,2002,hip hop,1.173944508296406,9,2,0,00s
133,abusive,wrench,1994,hip hop,1.1177265916310373,8,1,0,90s
134,keen,wrench,2014,hip hop,0.9095841447622206,21,4,4,10s
135,hard-to-find,mate,2006,pop,1.052918869000041,61,20,6,00s
136,protest,coat,1996,pop,1.4254376006245275,11,2,1,90s
137,coordinated,coat,1972,pop,0.8887295133177326,30,15,7,70s
138,town,loutish,2018,pop,1.6027531621803317,33,16,5,10s
139,paint,meaty,2013,pop,1.1017292909460152,34,11,3,10s
140,wrestle,outrageous,2003,pop,2.041525033794076,23,11,1,00s
141,kiss,challenge,2013,rock,2.6004082294564976,9,9,3,10s
142,dock,trot,2020,pop,2.518362437936304,4,0,0,20s
143,elastic,trot,1970,pop,2.5099801424420343,47,23,11,70s
144,tidy,trot,2004,pop,2.3077616545782047,58,19,19,00s
145,window,discovery,2023,pop,2.466317761974864,14,4,2,20s
146,replace,discovery,1992,pop,2.2679334314804134,16,1,0,90s
147,wave,guttural,2017,hip hop,1.9098814451411643,20,2,2,10s
148,roasted,guttural,2009,hip hop,2.453215890749602,27,3,1,00s
149,preserve,guttural,1997,hip hop,1.9712149285457436,11,11,1,90s
150,important,guttural,2011,hip hop,2.079998389695784,55,55,55,10s
151,natural,guttural,2019,hip hop,2.26778628233698,20,10,3,10s
152,decorate,guttural,2017,hip hop,2.637208683485622,10,5,5,10s
153,exchange,guttural,1993,hip hop,2.666546111476585,32,5,5,90s
154,valuable,guttural,2010,hip hop,1.8598515179470256,143,143,20,10s
155,injure,guttural,2018,hip hop,1.8896872874549175,28,28,9,10s
156,equable,guttural,2018,hip hop,2.8219705657690977,21,7,2,10s
157,steel,guttural,1998,hip hop,1.978194494126666,14,7,3,90s
158,wail,guttural,2005,hip hop,2.0576591206966115,27,27,27,00s
159,likeable,guttural,2006,hip hop,2.2216725006445053,17,5,1,00s
160,warlike,guttural,2015,hip hop,2.785799754777299,51,17,17,10s
161,lethal,guttural,1994,hip hop,2.6714130589905407,10,3,3,90s
162,same,guttural,2011,hip hop,2.1338400517842047,34,34,11,10s
163,eager,guttural,2018,hip hop,1.9476137962344169,22,11,3,10s
164,dangerous,guttural,1994,hip hop,1.986768943925888,34,3,0,90s
165,improve,guttural,1998,hip hop,1.9664444573168804,10,5,1,90s
166,rest,guttural,1982,hip hop,2.161989218185358,31,5,2,80s
167,knowing,guttural,1971,hip hop,2.5526166311596543,36,12,4,70s
168,store,guttural,2012,hip hop,2.3891786283542324,27,13,6,10s
169,actually,guttural,2019,hip hop,2.51610611730221,24,8,1,10s
170,smell,guttural,2003,hip hop,2.1130421117461315,13,6,3,00s
171,beam,guttural,1990,hip hop,2.633374198433413,26,13,2,90s
172,ear,guttural,1991,hip hop,1.8951742234149156,27,3,1,90s
173,value,guttural,2019,hip hop,2.8200592245747043,26,26,8,10s
174,spot,guttural,1994,hip hop,2.787575995711107,23,2,0,90s
175,fascinated,puncture,2018,hip hop,2.449013990433043,39,9,1,10s
176,land,puncture,1983,hip hop,2.745423500824381,49,49,24,80s
177,sand,deserted,2017,pop,2.296025663984594,12,6,0,10s
178,obedient,coordinated,2022,hip hop,1.9589404281073457,16,16,16,20s
179,disgusted,coordinated,2000,hip hop,2.1364623343691878,26,5,1,00s
180,itchy,coordinated,1990,hip hop,2.053402596839467,64,64,32,90s
181,car,far-flung,2002,hip hop,2.663553660702215,19,4,2,00s
182,fasten,abortive,2004,pop,2.04650192264843,16,8,1,00s
183,religion,clap,2000,folk,2.628416644352609,18,6,1,00s
184,unwieldy,reminiscent,2002,pop,1.9756335010141448,28,9,1,00s
185,cloudy,precede,2009,pop,2.648976109038204,25,12,4,00s
186,cooing,boil,2001,pop,2.754380286166944,11,5,5,00s
187,misty,boil,2001,pop,2.239304800145148,13,6,3,00s
188,rely,milky,2015,folk,2.423683412685665,43,2,0,10s
189,orange,milky,2003,folk,1.903735291468211,7,3,0,00s
190,squirrel,milky,1983,folk,2.065767409741681,34,11,11,80s
191,cloudy,five,1992,pop,1.850408943562124,9,4,4,90s
192,sudden,five,2014,pop,2.42772210181204,55,27,27,10s
193,morning,five,2013,pop,1.9024602573502027,34,11,3,10s
194,relation,five,2009,pop,2.714393500793582,21,5,2,00s
195,blink,five,1979,pop,2.588316998730274,10,3,3,70s
196,rare,five,1998,pop,2.2458781973375928,8,1,1,90s
197,system,five,1982,pop,2.1940843813064,7,3,1,80s
198,ski,five,2015,pop,2.6236150086373304,11,3,1,10s
199,tow,fix,1997,pop,2.74331081694404,158,39,39,90s
200,bolt,damaging,2008,pop,2.5566721124908227,20,20,20,00s
201,pot,damaging,2012,pop,1.8576978048869903,26,13,4,10s
202,handy,damaging,1994,pop,2.0263782990675128,8,4,2,90s
203,oil,low,2006,pop,2.723224708088256,38,19,9,00s
204,squash,low,2012,pop,1.8901604733271515,13,4,2,10s
205,hateful,turn,1993,hip hop,2.8238518220908144,11,5,0,90s
206,soap,turn,2005,hip hop,2.354664550988754,17,17,2,00s
207,greet,turn,2012,hip hop,2.643377424932432,13,13,0,10s
208,mask,sprout,2016,pop,2.557045004609374,14,2,1,10s
209,reward,poke,1994,pop,2.206232873528344,25,12,4,90s
210,stone,quizzical,2022,pop,2.6717854411016337,29,14,14,20s
211,colour,quizzical,2007,pop,1.961084547850081,24,8,0,00s
212,substantial,unused,2020,pop,2.250190818435366,12,12,0,20s
213,mess up,right,1978,rock,2.296426808377177,35,8,2,70s
214,insurance,right,1996,rock,2.634312381638148,25,25,8,90s
215,eminent,right,2001,rock,2.171093327804197,19,4,1,00s
216,clammy,right,2006,rock,1.9774833195577213,14,14,4,00s
217,expand,right,2012,rock,1.95932931966504,1,1,0,10s
218,lumpy,right,2014,rock,2.565160442668589,14,14,4,10s
219,mix,right,1987,rock,2.8446982514948957,10,10,3,80s
220,black-and-white,right,2013,rock,2.0730928509075346,8,4,4,10s
221,interesting,right,2001,rock,2.014549256732639,168,84,28,00s
222,charge,right,2005,rock,2.0310755872645525,129,43,43,00s
223,things,right,2012,rock,2.040276108464334,64,3,0,10s
224,striped,right,2010,rock,2.3379899346767727,2,2,0,10s
225,lethal,right,2011,rock,2.341426481264434,141,47,15,10s
226,occur,right,2021,rock,2.328413838568712,15,5,0,20s
227,board,right,2022,rock,2.6003580648094413,69,69,0,20s
228,wicked,right,2015,rock,2.106145118279314,14,7,1,10s
229,tart,right,1997,rock,2.420231322724306,4,4,1,90s
230,deeply,right,2007,rock,2.223381386548346,28,14,14,00s
231,spill,ring,2014,rock,1.948503750575404,21,1,0,10s
232,robust,ring,1996,rock,2.849373434327712,13,13,6,90s
233,yam,long-term,1983,pop,2.6594697868708788,17,4,2,80s
234,end,vagabond,2012,pop,2.177554648968677,31,15,5,10s
235,wholesale,vagabond,1994,pop,2.145277304303047,30,15,5,90s
236,star,vagabond,2020,pop,2.373754940090931,15,5,0,20s
237,earthquake,vagabond,2013,pop,2.5595968010450383,64,9,9,10s
238,true,vagabond,1996,pop,2.3062357105071425,53,17,4,90s
239,squalid,vagabond,2000,pop,2.808898056433452,7,7,3,00s
240,homely,vagabond,2011,pop,2.46790244607453,159,79,79,10s
241,unfasten,vagabond,2006,pop,2.060960580857116,24,8,2,00s
242,reflect,vagabond,1992,pop,2.2753621983337045,10,3,0,90s
243,suit,vagabond,2006,pop,1.951468763810931,31,31,31,00s
244,small,vagabond,1989,pop,2.8088481070532296,59,59,8,80s
245,guide,vagabond,1999,pop,1.9297286699374987,4,0,0,90s
246,scared,vagabond,2020,pop,2.099381794351632,15,7,2,20s
247,icicle,vagabond,2020,pop,2.5182825076081192,66,33,11,20s
248,purpose,vagabond,2022,pop,2.6753873633031917,28,14,14,20s
249,ask,vagabond,1986,pop,2.795241538307632,4,1,0,80s
250,plot,vagabond,2005,pop,2.255708777506147,19,6,6,00s
251,teeth,vagabond,2011,pop,2.7968903336251976,2,0,0,10s
252,calculator,overflow,2005,folk,2.5246626993825134,8,1,0,00s
253,likeable,peel,1994,pop,2.645204214890188,26,2,2,90s
254,flagrant,guess,1986,rock,2.032545863917357,27,13,0,80s
255,warm,crash,2005,hip hop,2.409883523349444,24,2,0,00s
256,achiever,crash,2008,hip hop,2.4202714566286225,28,9,9,00s
257,memory,crash,2007,hip hop,2.197684048965228,33,33,11,00s
258,wry,pat,2018,blues,2.806169599744711,26,13,13,10s
259,fallacious,motionless,2017,pop,2.749209223482085,16,1,0,10s
260,befitting,occur,2008,pop,1.962786650612898,17,2,0,00s
261,arrogant,occur,2006,pop,2.691232878613393,13,4,4,00s
262,beg,occur,2018,pop,2.759916668411172,34,11,2,10s
263,income,shut,2005,pop,2.591308805438088,16,8,4,00s
264,rude,shut,2016,pop,2.4453205090915358,27,27,9,10s
265,crawl,shut,2022,pop,2.3545359665231977,1,0,0,20s
266,glass,shut,2007,pop,2.44262340261658,23,3,3,00s
267,earthquake,shut,1997,pop,2.747070220016587,22,3,1,90s
268,aloof,shut,2013,pop,2.131175923261245,54,54,18,10s
269,border,shut,2010,pop,2.358280322686974,3,3,3,10s
270,flesh,shut,2010,pop,1.9162518675789688,25,8,2,10s
271,scream,mature,2009,folk,2.4259328629045656,24,3,0,00s
272,plug,mature,2005,folk,2.301336411839733,31,2,1,00s
273,mist,mature,2015,folk,2.1005363338562626,54,27,3,10s
274,grab,mature,2018,folk,2.621819513660712,10,5,1,10s
275,wipe,mature,1992,folk,2.270893799963119,24,1,1,90s
276,sidewalk,mature,2016,folk,1.9993880930072887,13,13,4,10s
277,gaudy,mature,1991,folk,2.5855852877808,11,11,11,90s
278,use,mature,2021,folk,2.755097902434969,22,11,1,20s
279,mug,girl,2015,hip hop,2.146818427349166,17,8,2,10s
280,legal,girl,2020,hip hop,2.552473903195354,4,2,0,20s
281,dapper,loud,2014,pop,2.5328216701419883,9,0,0,10s
282,glorious,minute,2016,pop,2.3798556305205194,15,15,7,10s
283,numerous,yam,2012,hip hop,2.742026170513866,12,6,0,10s
284,nod,yam,2019,hip hop,2.368636743894403,13,6,0,10s
285,liquid,yam,2001,hip hop,2.201944774095975,59,5,1,00s
286,cure,yam,2006,hip hop,2.7715761664079146,27,9,9,00s
287,thumb,yam,1995,hip hop,2.214792182881638,22,22,11,90s
288,hurry,yam,2006,hip hop,2.1141912000141643,21,21,21,00s
289,melodic,yam,2007,hip hop,1.8806194102286076,27,3,3,00s
290,stem,yam,2006,hip hop,2.649623534552055,30,5,5,00s
291,scratch,hard-to-find,2011,pop,2.190903566510084,43,14,4,10s
292,plane,hard-to-find,2014,pop,1.8737446172170755,20,10,5,10s
293,volatile,hard-to-find,2020,pop,2.5420383125894017,21,21,2,20s
294,plan,hard-to-find,2008,pop,1.948429744981623,23,23,7,00s
295,snow,hard-to-find,2019,pop,2.330533392220034,41,20,20,10s
296,alluring,hard-to-find,2000,pop,2.540708989428885,18,6,0,00s
297,naive,hard-to-find,2015,pop,2.743294557904195,19,9,9,10s
298,rock,hard-to-find,2022,pop,2.0933221565494637,32,5,1,20s
299,advertisement,hard-to-find,2022,pop,2.397118502632833,7,3,1,20s
300,outstanding,hard-to-find,2011,pop,2.5315373739742038,31,10,10,10s
301,popcorn,hard-to-find,1994,pop,2.7593669747835183,2,1,1,90s
302,volatile,hard-to-find,2015,pop,1.901164233632444,13,13,4,10s
303,key,hard-to-find,2012,pop,2.1286744499351595,4,4,0,10s
304,succinct,hard-to-find,1999,pop,2.7626901783252675,43,21,21,90s
305,bright,hard-to-find,2014,pop,2.766916486843648,27,13,0,10s
306,act,hard-to-find,2007,pop,2.7807210745052453,21,7,2,00s
307,dock,hard-to-find,1973,pop,2.127644505876406,3,1,1,70s
308,unaccountable,hard-to-find,2001,pop,2.469198312650566,31,31,15,00s
309,camp,warn,2009,hip hop,2.441969493757558,25,1,0,00s
310,happen,warn,2014,hip hop,1.899616505279532,5,0,0,10s
311,undesirable,warn,2018,hip hop,2.578778995941836,56,18,6,10s
312,aberrant,warn,2006,hip hop,2.3996349214841697,5,1,0,00s
313,marble,warn,1985,hip hop,2.053030091801137,30,30,10,80s
314,tip,warn,2016,hip hop,2.3706768956205826,64,32,16,10s
315,spot,warn,1974,hip hop,1.8581226933033543,10,3,1,70s
316,listen,warn,2012,hip hop,2.7860869153872767,27,13,1,10s
317,sulky,warn,2013,hip hop,2.149127725739763,31,3,1,10s
318,hill,warn,2002,hip hop,2.238147270765472,68,68,13,00s
319,land,warn,2018,hip hop,2.695339991002344,7,7,7,10s
320,debonair,warn,1993,hip hop,2.0944009315686807,5,5,1,90s
321,macho,warn,2018,hip hop,2.4433612587158176,110,55,27,10s
322,pointless,warn,1995,hip hop,2.5783155986752964,26,8,4,90s
323,cry,warn,2000,hip hop,2.531969529610698,19,19,9,00s
324,burn,warn,1977,hip hop,2.3366645586077537,24,8,4,70s
325,try,warn,2008,hip hop,2.1822512511247467,20,20,0,00s
326,wine,warn,2022,hip hop,2.729131444647904,9,3,1,20s
327,addicted,discreet,2010,hip hop,2.7456838640013945,44,14,14,10s
328,amusing,discreet,2022,hip hop,2.6369848977347363,9,4,0,20s
329,scientific,discreet,2014,hip hop,2.6376548656515144,42,14,14,10s
330,halting,discreet,2021,hip hop,2.614550814872911,14,4,1,20s
331,tin,discreet,2010,hip hop,2.5554747217898823,7,3,0,10s
332,earth,discreet,2000,hip hop,2.4577784446999544,29,14,2,00s
333,trace,discreet,2011,hip hop,2.022477144019174,27,9,9,10s
334,ship,discreet,2018,hip hop,2.086276656319473,3,3,0,10s
335,aboriginal,soup,2022,rock,2.159250853572508,12,0,0,20s
336,account,soup,1987,rock,2.657207356072284,88,44,22,80s
337,clear,soup,2019,rock,2.777560499139385,22,11,11,10s
338,cold,soup,1976,rock,2.381037604054234,3,3,0,70s
339,direful,soup,2013,rock,1.877060098540952,22,2,2,10s
340,glistening,soup,1993,rock,2.3575183241472275,26,4,1,90s
341,stereotyped,soup,2010,rock,2.17057038647718,9,4,0,10s
342,ultra,soup,2020,rock,1.8702434581810263,41,20,0,20s
343,physical,soup,2007,rock,2.5097707830679785,13,4,0,00s
344,learned,soup,2022,rock,2.400917315194896,20,20,6,20s
345,hose,soup,2003,rock,1.8805937415810663,21,7,0,00s
346,female,unique,1978,pop,1.907853291781605,15,5,0,70s
347,macabre,crush,1986,hip hop,2.766626203654021,2,0,0,80s
348,adorable,crush,2013,hip hop,2.140745490538197,31,4,1,10s
349,cold,crush,2004,hip hop,2.3848753946457117,15,5,1,00s
350,profuse,crush,2018,hip hop,2.74349218824329,3,3,0,10s
351,add,crush,2007,hip hop,2.8318949856232623,2,1,0,00s
352,quiver,crush,2008,hip hop,2.2332798706687966,4,2,2,00s
353,protective,crush,2009,hip hop,2.2347540637133347,9,1,0,00s
354,cagey,crush,2010,hip hop,2.6470122597479526,2,0,0,10s
355,cherries,crush,2002,hip hop,1.9834632947916768,34,11,5,00s
356,statuesque,crush,2014,hip hop,2.0194913722389094,23,7,2,10s
357,volatile,crush,2013,hip hop,2.552785498445981,16,1,0,10s
358,second,crush,2022,hip hop,1.8653665827069743,12,1,1,20s
359,greedy,crush,2016,hip hop,2.8314557344038285,31,10,10,10s
360,gentle,crush,1983,hip hop,2.386769157107768,4,0,0,80s
361,ambiguous,crush,2006,hip hop,2.047565385620331,31,31,10,00s
362,extra-small,crush,2008,hip hop,2.5714653021173657,126,31,31,00s
363,handsome,crush,1990,hip hop,2.2484146721782894,31,31,15,90s
364,offer,crush,1976,hip hop,1.955527704628322,11,3,0,70s
365,cemetery,acid,2003,pop,1.944490742450004,30,10,2,00s
366,mouth,trashy,2008,hip hop,2.43526839352016,26,8,0,00s
367,report,trashy,1997,hip hop,2.7436896241850577,169,28,28,90s
368,bumpy,trashy,1999,hip hop,2.0582842506020773,41,20,20,90s
369,thinkable,trashy,2010,hip hop,1.8539274894983315,8,0,0,10s
370,well-made,trashy,1983,hip hop,2.165694166723038,4,0,0,80s
371,week,fearless,2007,hip hop,2.830080217296116,10,1,0,00s
372,holistic,fearless,2019,hip hop,2.6484839984779653,9,3,3,10s
373,driving,fearless,2017,hip hop,2.265871285455023,16,16,2,10s
374,memorize,fearless,2009,hip hop,2.4032354216278256,11,5,5,00s
375,old,fearless,1999,hip hop,1.852976870190885,22,11,3,90s
376,fork,slave,1972,rock,2.5158165178043776,188,26,3,70s
377,correct,slave,2010,rock,1.9948557909410525,1,0,0,10s
378,giant,slave,2004,rock,2.2032985583619724,16,5,1,00s
379,efficacious,slave,2019,rock,1.8824617359669291,22,7,1,10s
380,resonant,slave,2002,rock,2.654809628078902,34,17,5,00s
381,teaching,slave,1979,rock,2.627409505271183,7,0,0,70s
382,resonant,slave,2015,rock,2.052200403178126,13,0,0,10s
383,complete,slave,2017,rock,2.3637905576655367,14,1,0,10s
384,connect,rest,2015,folk,2.7485069838130816,10,5,5,10s
385,soft,rest,2005,folk,1.9863779922135207,65,65,65,00s
386,matter,rest,1996,folk,2.663646261785684,28,28,28,90s
387,knee,rest,2004,folk,2.040163295017135,16,16,16,00s
388,greedy,rest,2023,folk,2.570257241579783,9,3,1,20s
389,influence,rest,1988,folk,2.450371895747094,26,3,1,80s
390,spotty,rest,2018,folk,2.3057577138424508,18,9,4,10s
391,sock,rest,2013,folk,1.927899199287904,18,2,1,10s
392,inexpensive,marvelous,1984,pop,2.3293505940857475,7,7,2,80s
393,weight,marvelous,1984,pop,2.6293210214360028,6,3,1,80s
394,grape,thumb,2006,pop,2.7795829479434917,17,5,5,00s
395,tan,thumb,2020,pop,2.7709682444874555,22,7,2,20s
396,blade,thumb,2006,pop,2.045914579156128,20,2,0,00s
397,married,thumb,2015,pop,2.0399042446980387,25,4,2,10s
398,wanting,thumb,1970,pop,2.74376226391644,20,10,2,70s
399,pull,thumb,2008,pop,2.4501681998009666,23,23,11,00s
400,smash,thumb,2000,pop,2.441924673726984,22,1,0,00s
401,joke,thumb,1994,pop,2.580902657953357,9,9,4,90s
402,skillful,mind,2016,folk,2.580885372870254,8,8,0,10s
403,playground,skate,1979,pop,2.7662962976507712,14,7,7,70s
404,possess,skate,2011,pop,2.736781452080836,26,2,1,10s
405,uptight,skate,1994,pop,2.4667337666281304,33,16,16,90s
406,chemical,skate,1989,pop,2.43523784070931,5,2,1,80s
407,smoggy,skate,2018,pop,2.686676276113708,32,16,8,10s
408,stir,kneel,2013,pop,2.22587136653184,10,3,0,10s
409,brake,kneel,1997,pop,1.9734259317336784,25,25,12,90s
410,uneven,kneel,2009,pop,2.6973722449271507,49,24,8,00s
411,hissing,kneel,2015,pop,2.228550867560006,3,1,0,10s
412,cushion,kneel,2011,pop,2.5758671612517423,65,65,65,10s
413,legs,kneel,2012,pop,2.723849875978412,17,8,2,10s
414,purring,kneel,1990,pop,2.7461666214394067,15,5,2,90s
415,poised,kneel,2018,pop,2.8477612986346044,29,29,14,10s
416,thinkable,kneel,2006,pop,2.583051407717706,21,3,1,00s
